path	domain_tag	asset_type	fill	types
enrichment_data	other		9/300	null
enrichment_error	other		9/300	null
enrichment_retry_count	other		9/300	int
extraction_date	other		16/300	str
extraction_method	other		16/300	str
features	other		8/300	array[str]
feed_catch	other		1/300	str
feed_hook	other		1/300	str
feed_hook_generated_at	other		1/300	str
first_listed_date	other		9/300	str
first_listed_full	other		9/300	str
first_listed_timestamp	other		9/300	str
first_listed_year	other		9/300	int
first_seen	other		4/300	datetime
floor_area_source	physical_attributes		9/300	object
floor_area_source.fetched_at	physical_attributes		9/300	str
floor_area_source.matched	physical_attributes		9/300	str
floor_area_source.path	physical_attributes		9/300	str
floor_area_source.script	physical_attributes		9/300	str
floor_area_source.url	physical_attributes		9/300	str
floor_area_sqm	physical_attributes		200/300	float/int
floor_area_sqm_source	physical_attributes		46/300	object
floor_area_sqm_source.fetched_at	physical_attributes		46/300	str
floor_area_sqm_source.matched	physical_attributes		46/300	str
floor_area_sqm_source.path	physical_attributes		46/300	str
floor_area_sqm_source.script	physical_attributes		46/300	str
floor_area_sqm_source.url	physical_attributes		46/300	str
floor_plan_analysis	images_assets	floor_plan	7/300	object
floor_plan_analysis.additional_features	images_assets	floor_plan	7/300	array[]/array[str]
floor_plan_analysis.bathrooms	physical_attributes		7/300	object
floor_plan_analysis.bathrooms.details	physical_attributes		7/300	str
floor_plan_analysis.bathrooms.ensuites	physical_attributes		7/300	int
floor_plan_analysis.bathrooms.full_bathrooms	physical_attributes		7/300	int
floor_plan_analysis.bathrooms.powder_rooms	physical_attributes		7/300	int
floor_plan_analysis.bathrooms.total_count	physical_attributes		7/300	int
floor_plan_analysis.bedrooms	physical_attributes		7/300	object
floor_plan_analysis.bedrooms.details	physical_attributes		7/300	str
floor_plan_analysis.bedrooms.total_count	physical_attributes		7/300	int
floor_plan_analysis.buyer_insights	images_assets	floor_plan	7/300	object
floor_plan_analysis.buyer_insights.considerations	images_assets	floor_plan	7/300	array[str]
floor_plan_analysis.buyer_insights.ideal_for	images_assets	floor_plan	7/300	array[str]
floor_plan_analysis.buyer_insights.key_benefits	images_assets	floor_plan	7/300	array[str]
floor_plan_analysis.buyer_insights.lifestyle_suitability	images_assets	floor_plan	7/300	str
floor_plan_analysis.data_quality	images_assets	floor_plan	7/300	object
floor_plan_analysis.data_quality.confidence_overall	valuation		7/300	str
floor_plan_analysis.data_quality.floor_plan_clarity	images_assets	floor_plan	7/300	str
floor_plan_analysis.data_quality.measurements_available	images_assets	floor_plan	7/300	bool
floor_plan_analysis.data_quality.missing_information	images_assets	floor_plan	7/300	array[str]
floor_plan_analysis.external_floor_area	physical_attributes		7/300	object
floor_plan_analysis.external_floor_area.confidence	physical_attributes		7/300	str
floor_plan_analysis.external_floor_area.notes	physical_attributes		7/300	str
floor_plan_analysis.external_floor_area.source	physical_attributes		7/300	str
floor_plan_analysis.external_floor_area.unit	physical_attributes		7/300	null/str
floor_plan_analysis.external_floor_area.value	physical_attributes		7/300	int/null
floor_plan_analysis.internal_floor_area	physical_attributes		7/300	object
floor_plan_analysis.internal_floor_area.confidence	physical_attributes		7/300	str
floor_plan_analysis.internal_floor_area.notes	physical_attributes		7/300	str
floor_plan_analysis.internal_floor_area.unit	physical_attributes		7/300	null/str
floor_plan_analysis.internal_floor_area.value	physical_attributes		7/300	int/null
